year,water_area_ha
2004,15615.858712292582
2005,19185.952519637027
2006,28525.957374836733
2007,22832.953099340335
2008,29040.500106821717
2009,30190.17947642757
2011,31895.896629166342
2012,17399.14625703296
2013,30335.138726153054
2014,26399.079270207207
2015,15266.864391756058
2016,21317.926971249555
2017,25578.905528846306
2018,21695.71806409944
2019,23238.24640320686
2020,30397.7957635641
2021,24860.994216813688
